time,lat,lng,injured,killed
16:30,40.6507056,-74.0044903,1,0
18:25,40.6814122,-73.8725294,1,0
20:15,40.6961310,-73.9871041,1,0
20:55,40.6119531,-73.9681646,1,0
5:04,40.6778446,-73.9528108,1,0
18:10,40.6938007,-73.9872271,1,0
20:05,40.6098870,-73.9855468,1,0
19:30,40.6479057,-74.0074055,1,0
19:40,40.6886160,-73.9891681,1,0
20:40,40.6922271,-73.9309084,1,0
21:45,40.6685789,-73.9867994,1,0
11:10,40.6315818,-73.9475439,1,0
13:28,40.7148804,-73.9544620,1,0
16:00,40.6346845,-73.9650841,1,0
20:00,40.6249784,-73.9632483,1,0
9:30,40.7179102,-73.9533993,1,0
9:30,40.6466280,-73.9039829,1,0
15:32,40.6637286,-73.9538481,1,0
18:00,40.6727536,-73.9543177,1,0
21:20,40.6352397,-73.9676275,1,0
8:56,40.7109568,-73.9511173,1,0
10:45,40.7146912,-73.9426881,1,0
12:55,40.6868244,-73.9388034,1,0
18:09,40.7119619,-73.9406885,1,0
1:30,40.6329270,-73.9871307,1,0
23:15,40.6961970,-73.9887629,1,0
9:00,40.6239626,-73.9724457,1,0
10:10,40.6835675,-73.9410562,1,0
20:45,40.6560014,-73.9405328,1,0
23:20,40.6357602,-73.9948477,1,0
19:07,40.6702792,-73.9254121,1,0
9:30,40.6433049,-73.9477905,1,0
21:51,40.6932287,-73.9678445,1,0
14:55,40.6301285,-73.9448070,1,0
21:25,40.7257207,-73.9508756,1,0
8:15,40.6442664,-73.9968434,1,0
12:23,40.6862816,-73.8802724,1,0
19:48,40.6799920,-74.0098066,1,0
15:00,40.6949617,-73.9871620,1,0
9:30,40.6639504,-73.9807231,1,0
20:30,40.7291708,-73.9574794,1,0
22:45,40.6273137,-73.9853846,1,0
9:50,40.6781665,-73.9622276,1,0
12:50,40.6139257,-73.9502663,1,0
17:00,40.6169368,-74.0237153,1,0
19:00,40.6553404,-73.9606980,1,0
1:43,40.6153636,-74.0053956,1,0
12:10,40.7111671,-73.9488916,1,0
14:30,40.7281344,-73.9532731,1,0
15:55,40.6439859,-74.0114841,1,0
18:06,40.6879349,-73.9153935,1,0
19:50,40.6834818,-73.9668902,1,0
9:57,40.6829709,-73.9766650,1,0
19:05,40.6354400,-73.9791136,1,0
12:20,40.6073926,-73.9432087,1,0
13:15,40.6679751,-73.9873006,1,0
14:14,40.6917093,-73.9484774,1,0
14:22,40.6053581,-73.9617322,1,0
17:00,40.6907574,-73.9962318,1,0
13:30,40.7027993,-73.9136435,1,0
18:00,40.6960033,-73.9298948,1,0
19:15,40.6353188,-74.0232355,1,0
18:10,40.6841469,-73.9229592,1,0
19:00,40.7104816,-73.9654916,1,0
8:00,40.6558741,-73.9563872,1,0
17:45,40.7167794,-73.9363409,1,0
16:04,40.6419313,-73.9584070,1,0
20:20,40.6859719,-73.9266746,1,0
14:30,40.6465836,-73.9663823,1,0
13:30,40.6991661,-73.9149140,1,0
21:30,40.5967449,-73.9852652,1,0
8:30,40.6409147,-73.9736422,1,0
14:30,40.6461099,-73.9707681,1,0
21:00,40.6986988,-73.9347606,1,0
14:15,40.6938007,-73.9872271,1,0
18:00,40.6660187,-73.8963168,1,0
17:45,40.7054724,-73.9502377,1,0
23:20,40.7105932,-73.9547354,1,0
13:40,40.6840532,-73.9815610,1,0
19:30,40.6357861,-73.9595241,1,0
15:56,40.6509791,-73.9611907,1,0
14:40,40.6831048,-73.8741054,1,0
17:10,40.6393047,-73.9589671,1,0
19:30,40.6321675,-74.0245206,1,0
8:18,40.6346508,-73.9372659,1,0
8:30,40.6242945,-74.0140348,1,0
19:30,40.6885556,-73.9628347,1,0
9:39,40.6180013,-73.9638897,1,0
17:00,40.6193709,-73.9201343,1,0
19:24,40.6150052,-73.9802186,1,0
20:40,40.6753855,-73.9533642,1,0
16:30,40.6661692,-73.9888076,1,0
13:37,40.6808521,-73.9774553,1,0
2:10,40.7114813,-73.9455945,1,0
20:50,40.7150643,-73.9421611,1,0
18:10,40.7111671,-73.9488916,1,0
20:10,40.7119706,-73.9610289,1,0
23:17,40.6344805,-73.9621983,1,0
13:00,40.6643339,-73.8968385,1,0
8:25,40.6707925,-73.9032704,1,0
16:59,40.6405903,-73.9542821,1,0
17:40,40.6445130,-73.9631259,1,0
11:05,40.6703577,-73.9887132,1,0
18:15,40.7077496,-73.9322954,1,0
18:30,40.6894687,-73.9691048,1,0
16:00,40.6914567,-73.9873466,1,0
18:55,40.6481811,-73.9299991,1,0
19:45,40.6889031,-73.9809286,1,0
20:45,40.7051822,-73.9593377,1,0
7:55,40.6038767,-73.9954300,1,0
9:15,40.6091251,-73.9502987,1,0
0:35,40.6903471,-73.9602915,1,0
13:10,40.7277505,-73.9419913,1,0
6:13,40.6691965,-73.9621101,0,1
13:00,40.6950048,-73.9524886,1,0
14:30,40.6290239,-74.0127028,1,0
