time,lat,lng,injured,killed
13:30,40.8532056,-73.7899172,1,0
21:03,40.8815906,-73.8470340,1,0
20:15,40.8375696,-73.8544570,1,0
18:17,40.8726198,-73.9046763,1,0
15:20,40.8210052,-73.8978638,1,0
14:30,40.8537765,-73.8971520,1,0
18:25,40.8567445,-73.8952640,1,0
7:55,40.8704696,-73.8800058,1,0
23:40,40.8401300,-73.8802991,1,0
9:00,40.8096294,-73.8900351,1,0
23:15,40.8827095,-73.8812458,1,0
13:33,40.9019244,-73.8655987,1,0
16:50,40.8325620,-73.8694212,1,0
13:31,40.8593085,-73.8988389,1,0
16:00,40.8287288,-73.9147231,1,0
18:55,40.8364798,-73.8977280,1,0
12:47,40.8494529,-73.9059999,1,0
16:00,40.8225330,-73.8850856,1,0
17:30,40.8290472,-73.9111092,1,0
7:46,40.8493353,-73.8494323,1,0
17:30,40.8503081,-73.8864328,1,0
17:45,40.8309150,-73.9204622,1,0
18:50,40.8395370,-73.8583558,1,0
8:40,40.8335582,-73.8577325,1,0
0:20,40.8695858,-73.8604214,1,0
9:55,40.8246325,-73.8556487,1,0
17:00,40.8136099,-73.9133371,1,0
14:15,40.8452223,-73.8661181,1,0
17:34,40.8285333,-73.9034603,1,0
19:00,40.8361807,-73.9041575,1,0
0:50,40.8462399,-73.9181776,1,0
17:58,40.8634753,-73.8901630,2,0
19:30,40.8476674,-73.9010217,1,0
22:10,40.8865285,-73.8997812,1,0
13:50,40.8323444,-73.8926861,1,0
17:10,40.8665896,-73.8683275,1,0
13:00,40.8678218,-73.8634441,1,0
19:35,40.8835756,-73.8628042,1,0
13:00,40.8554333,-73.8553505,1,0
17:44,40.8986648,-73.8487201,1,0
21:00,40.8357243,-73.9212840,1,0
10:20,40.8375117,-73.8458090,1,0
23:15,40.8436876,-73.9076597,1,0
19:56,40.8737927,-73.8766840,1,0
21:00,40.8363060,-73.9251682,1,0
22:00,40.8651100,-73.8379285,1,0
22:53,40.8449018,-73.8900961,1,0
16:08,40.8212762,-73.9174171,1,0
18:46,40.8295972,-73.9022410,1,0
8:45,40.8231352,-73.8948833,1,0
15:15,40.8477632,-73.9072782,1,0
4:35,40.8187504,-73.8903777,1,0
20:55,40.8181465,-73.8992844,1,0
19:00,40.8707779,-73.8862279,1,0
15:00,40.8828817,-73.8631926,1,0
18:35,40.8536850,-73.8691664,1,0
9:06,40.8263977,-73.9211541,1,0
12:15,40.8364798,-73.8977280,1,0
21:23,40.8827690,-73.8885978,1,0
12:25,40.8642161,-73.8957945,1,0
19:10,40.8272822,-73.8301616,1,0
21:03,40.8514695,-73.8955651,1,0
